VariableName,DisplayName,DeviceName,Raster,DefaultBackColor,DefaultForeColor,HighThreshBackColor,LowThreshBackColor,HighThreshForeColor,LowThreshForeColor,HighThresh,LowThresh,EqualTo,Row,Col,CheckForDataChange,DisplayWindowName,DisplayWindowSize,AssociatedControlName,LocationOnForm,GridSize,AlsoAssociatedWith,DisplayFormat
VaTOFR_e_MeasStat[x]_[0],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,1,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[1],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,2,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[2],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,3,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[3],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,4,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[4],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,5,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[5],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,6,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[6],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,7,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[7],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,8,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[8],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,9,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
VaTOFR_e_MeasStat[x]_[9],MeasStat,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,2,10,FALSE,Obj Ffus,,Front Fusion,,,,ENUM
