String
"start record"
"stop record"
"start audio"
disable
"start measurement"
"stop measurement"
"main annotation"
"main audio recording"
"main ignore last"
"acc annotation"
"acc acc braking: unwanted"
"acc acc braking: missed"
"acc iacc wrong speed"
"acc ignore last"
"fim annotation"
"fim aeb braking: unwanted"
"fim aeb braking: missed"
"fim aeb braking: true event"
"fim false alert: fca"
"fim false alert: ped"
"fim false alert: icm"
"fim ignore last"
"lat ctrl annotation"
"lat ctrl abrupt jerk"
"lat ctrl lane excursion"
"lat ctrl poor control"
"lat ctrl escalation: proper"
"lat ctrl escalation: improper"
"lat ctrl escalation: missed"
"lat ctrl unwanted engagement"
"lat ctrl lcc unavailable"
"lat ctrl lcc unwanted lockout"
"lat ctrl lane change"
"lat ctrl nav route failure"
"lat ctrl ignore last"
"dms annotation"
"dms missed spot"
"dms attention alert: false"
"dms attention alert: missed"
"dms attention alert: unhelpful"
"dms drowsy alert: false"
"dms drowsy alert: missed"
"dms ignore last"
"tsm annotation"
"tsm wrong speed"
"tsm correct speed change"
"tsm ignore last"
"hmi annotation"
"hmi incorrect display"
"hmi ignore last"
"rvb annotation"
"rvb rvb braking: no object"
"rvb rvb braking:  early / unwanted"
"rvb rvb braking: missed"
"rvb rvb braking: true event"
"rvb false alert"
"rvb ignore last"
"apa annotation"
"apa parking spot:  missed"
"apa parking spot:  invalid"
"apa apa aborted"
"apa driver unfomfortable"
"apa apa vcu issue"
"apa ignore last"
"kss annotation"
"kss extremely alert"
"kss very alert"
"kss alert"
"kss rather alert"
"kss neutral"
"kss some sign of sleepiness"
"kss sleepy but alert"
"kss sleepy some effort keep alert"
"kss very sleepy"
"kss ignore last"
